m1,m2,m3
9.96963,-5.50235,8.31371,
11.7384,-6.4605,9.80065,
11.2841,-6.20134,9.42734,
10.2058,-5.65022,8.49907,
10.6992,-5.88096,8.93795,
11.6942,-6.44041,9.7609,
11.1621,-6.19897,9.28255,
10.3117,-5.78323,8.53731,
9.86283,-5.57801,8.13395,
9.82344,-5.54902,8.10607,
9.93306,-5.6045,8.20093,
9.43371,-5.35248,7.76827,
8.05108,-4.64818,6.57377,
5.43885,-3.34619,4.28767,
6.28536,-3.77157,5.02802,
7.37668,-4.30231,5.99212,
7.9285,-4.56649,6.48138,
7.68725,-4.42948,6.28279,
8.92511,-5.08404,7.33554,
9.73525,-5.48397,8.04371,
10.641,-5.94387,8.82612,
11.0219,-6.13415,9.15715,
11.3297,-6.29025,9.42309,
11.5967,-6.42051,9.65716,
12.0272,-6.64222,10.0267,
11.9555,-6.61025,9.96187,
10.3289,-5.73279,8.59191,
8.83583,-4.96388,7.3097,
7.34885,-4.18793,6.03877,
5.75644,-3.3631,4.67184,
4.91744,-2.92254,3.95474,
4.30771,-2.60187,3.43318,
3.95416,-2.42602,3.12246,
3.55489,-2.20872,2.78546,
4.00655,-2.42816,3.18692,
3.83662,-2.33144,3.04697,
3.12388,-2.00076,2.39908,
2.11605,-1.49627,1.49627,
4.55776,-2.85498,3.55278,
5.61551,-3.39906,4.46995,
6.00925,-3.60705,4.80627,
5.65889,-3.42762,4.50272,
6.97772,-4.10021,5.64596,
8.92157,-5.10568,7.31618,
10.4931,-5.91968,8.6639,
10.7892,-6.07555,8.91602,
11.0554,-6.22068,9.13925,
11.1996,-6.29938,9.26007,
11.2143,-6.31211,9.26923,
11.1445,-6.28932,9.20025,
10.4945,-5.96465,8.63469,
10.1634,-5.79792,8.34739,
11.0619,-6.29771,9.09423,
11.5568,-6.57616,9.50332,
10.9374,-6.25681,8.97099,
10.3871,-5.96753,8.50177,
9.76589,-5.63773,7.97424,
9.34045,-5.40785,7.61572,
9.21116,-5.33898,7.50605,
8.44618,-4.93708,6.85297,
6.30258,-3.81508,5.01674,
3.89838,-2.56593,2.93486,
5.20832,-3.20401,4.1062,
8.27083,-4.75824,6.76504,
10.2689,-5.78024,8.48756,
10.0449,-5.666,8.29435,
11.9746,-6.66118,9.95087,
12.3782,-6.8722,10.2953,
12.3454,-6.84855,10.2716,
12.446,-6.89686,10.3603,
13.1495,-7.25757,10.9653,
13.9737,-7.68806,11.6687,
13.8051,-7.60504,11.5215,
12.5613,-6.96311,10.4548,
10.8304,-6.06537,8.97271,
9.3903,-5.3352,7.72744,
7.54094,-4.32169,6.1797,
6.30048,-3.67401,5.11837,
5.22213,-3.10314,4.20013,
3.59867,-2.24508,2.81248,
2.46445,-1.63753,1.84173,
2.12162,-1.44454,1.55389,
1.65155,-1.16277,1.17285,
0.797598,-0.563987,0.563987,
0.523628,-0.370261,0.370261,
0.429569,-0.303751,0.303751,
0.678322,-0.479646,0.479646,
1.6506,-1.16715,1.16715,
6.05512,-3.45,4.97614,
6.45025,-3.63518,5.32834,
9.26998,-5.12788,7.72252,
10.7013,-5.87257,8.94602,
12.7426,-6.94871,10.6813,
14.6124,-7.93793,12.2683,
15.3284,-8.33889,12.8616,
15.3589,-8.38265,12.8697,
15.4993,-8.47771,12.9752,
15.0723,-8.27721,12.5961,
13.3218,-7.34297,11.1154,
11.6012,-6.4531,9.64076,
9.94969,-5.53628,8.26716,
8.80031,-4.93146,7.28877,
6.83736,-3.91202,5.60764,
4.7087,-2.81619,3.77372,
3.97137,-2.44092,3.13269,
2.70793,-1.77585,2.04431,
1.42559,-1.00804,1.00804,
0.53086,-0.375375,0.375375,
0.430452,-0.304375,0.304375,
0.364055,-0.257426,0.257426,
0.683418,-0.483249,0.483249,
2.71032,-1.75917,2.06183,
5.31916,-3.07303,4.34165,
6.80435,-3.82497,5.6275,
9.33299,-5.17619,7.76607,
11.6367,-6.38025,9.73168,
13.6316,-7.4249,11.432,
14.3173,-7.7962,12.0085,
15.3842,-8.37913,12.9021,
16.1604,-8.80144,13.5533,
16.5285,-9.00956,13.8571,
15.5658,-8.53096,13.0199,
13.7901,-7.59033,11.5132,
11.8072,-6.57031,9.8103,
8.6553,-4.8798,7.14855,
6.61877,-3.83046,5.39774,
5.32139,-3.14289,4.29412,
4.45696,-2.68255,3.55927,
3.15941,-2.00408,2.44245,
2.28315,-1.53817,1.68725,
1.31835,-0.932213,0.932213,
0.719789,-0.508968,0.508968,
0.480573,-0.339817,0.339817,
0.371604,-0.262764,0.262764,
0.483559,-0.341928,0.341928,
0.712717,-0.503967,0.503967,
2.6503,-1.66971,2.05819,
3.86851,-2.26507,3.13605,
5.22404,-2.96655,4.30002,
7.25377,-4.00267,6.04945,
8.77204,-4.79154,7.34777,
9.86118,-5.36286,8.27542,
13.0605,-7.03451,11.0042,
13.9106,-7.49252,11.7204,
15.224,-8.19782,12.8283,
14.7333,-7.97391,12.389,
11.4255,-6.24913,9.56504,
8.43706,-4.71043,6.99971,
4.91002,-2.83089,4.01178,
3.23909,-1.97963,2.56374,
2.11885,-1.40979,1.58179,
0.711924,-0.503407,0.503407,
0.428353,-0.302891,0.302891,
0.421234,-0.297857,0.297857,
0.370945,-0.262298,0.262298,
0.338052,-0.239039,0.239039,
0.268137,-0.189602,0.189602,
0.174084,-0.123096,0.123096,
0.319705,-0.226066,0.226066,
0.464802,-0.328665,0.328665,
0.599873,-0.424174,0.424174,
0.647697,-0.457991,0.457991,
1.30405,-0.906019,0.937914,
4.07518,-2.32494,3.3469,
7.27613,-3.97902,6.09176,
8.40961,-4.56927,7.05998,
9.17084,-4.98008,7.70086,
10.6797,-5.78304,8.97848,
11.2996,-6.12234,9.49723,
11.0761,-6.0307,9.29036,
8.25463,-4.55917,6.88134,
5.54448,-3.16312,4.55367,
2.61536,-1.61753,2.05517,
0.721573,-0.510229,0.510229,
0.342458,-0.242154,0.242154,
0.219231,-0.15502,0.15502,
0.138123,-0.0976679,0.0976679,
0.0884206,-0.0625228,0.0625228,
0.0299819,-0.0212004,0.0212004,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.0640429,-0.0452852,0.0452852,
0.193257,-0.136654,0.136654,
0.25507,-0.180361,0.180361,
0.207121,-0.146456,0.146456,
0.248203,-0.175506,0.175506,
0.404228,-0.285833,0.285833,
0.595208,-0.420876,0.420876,
0.640155,-0.452658,0.452658,
1.4166,-0.916468,1.08021,
3.26825,-1.9514,2.62174,
3.87306,-2.30746,3.11066,
3.79408,-2.31446,3.00638,
4.26377,-2.55586,3.41282,
3.3865,-2.09632,2.65966,
1.66464,-1.13763,1.21525,
1.20109,-0.849298,0.849298,
0.465951,-0.329477,0.329477,
0.376793,-0.266433,0.266433,
0.310969,-0.219888,0.219888,
0.287594,-0.203359,0.203359,
0.333303,-0.235681,0.235681,
0.348639,-0.246525,0.246525,
0.297239,-0.21018,0.21018,
0.216004,-0.152738,0.152738,
0.251285,-0.177685,0.177685,
0.426166,-0.301345,0.301345,
0.560713,-0.396484,0.396484,
0.803404,-0.568092,0.568092,
0.977204,-0.690988,0.690988,
2.76027,-1.65522,2.20893,
5.61174,-3.10842,4.67219,
7.52079,-4.09342,6.30921,
7.9779,-4.33838,6.69517,
9.10172,-4.94162,7.64341,
8.89911,-4.86106,7.45415,
7.77446,-4.30041,6.47678,
6.4564,-3.63899,5.33319,
4.41817,-2.59073,3.57887,
1.88635,-1.23018,1.43002,
0.509176,-0.360042,0.360042,
0.349846,-0.247378,0.247378,
0.276437,-0.195471,0.195471,
0.243934,-0.172488,0.172488,
0.183761,-0.129939,0.129939,
0.147975,-0.104634,0.104634,
0.12237,-0.0865289,0.0865289,
0.0700023,-0.0494991,0.0494991,
0.0156728,-0.0110823,0.0110823,
0.110801,-0.0783479,0.0783479,
0.388751,-0.274888,0.274888,
0.638547,-0.451521,0.451521,
0.773442,-0.546906,0.546906,
0.834886,-0.590353,0.590353,
1.66421,-1.03796,1.30086,
4.96611,-2.73508,4.14507,
6.24806,-3.40124,5.24116,
6.42472,-3.49135,5.39329,
6.4683,-3.51345,5.43089,
7.22498,-3.90769,6.07703,
7.13755,-3.88047,5.99054,
5.2885,-2.91314,4.41383,
3.36924,-1.92551,2.76481,
0.98492,-0.636709,0.751444,
0.396858,-0.280621,0.280621,
0.377246,-0.266753,0.266753,
0.365057,-0.258134,0.258134,
0.365805,-0.258663,0.258663,
0.425259,-0.300704,0.300704,
0.431782,-0.305316,0.305316,
0.39917,-0.282256,0.282256,
0.346091,-0.244724,0.244724,
0.237657,-0.168049,0.168049,
0.255545,-0.180698,0.180698,
0.333829,-0.236053,0.236053,
0.49161,-0.34762,0.34762,
0.544913,-0.385312,0.385312,
0.833472,-0.589354,0.589354,
2.30061,-1.53084,1.71737,
3.20942,-1.91188,2.57782,
3.3316,-1.95139,2.7003,
4.32342,-2.45774,3.5569,
6.31411,-3.48362,5.26616,
7.80409,-4.26062,6.53841,
7.60943,-4.18088,6.35796,
4.81254,-2.72025,3.96999,
2.43575,-1.48988,1.92694,
0.555841,-0.393039,0.393039,
0.282247,-0.199579,0.199579,
0.133932,-0.094704,0.094704,
0.0468016,-0.0330937,0.0330937,
0.00554576,-0.00392144,0.00392144,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.0705263,-0.0498696,0.0498696,
0.142948,-0.101079,0.101079,
0.181138,-0.128084,0.128084,
0.221357,-0.156523,0.156523,
0.27925,-0.197459,0.197459,
0.325278,-0.230006,0.230006,
0.276923,-0.195814,0.195814,
0.154587,-0.10931,0.10931,
0.0380991,-0.0269401,0.0269401,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.0213422,-0.0150912,0.0150912,
0.0683086,-0.0483015,0.0483015,
0.136906,-0.0968072,0.0968072,
0.185353,-0.131064,0.131064,
0.241082,-0.170471,0.170471,
0.270936,-0.191581,0.191581,
0.300428,-0.212435,0.212435,
0.305332,-0.215902,0.215902,
0.27636,-0.195416,0.195416,
0.265112,-0.187463,0.187463,
0.249174,-0.176192,0.176192,
0.207516,-0.146736,0.146736,
0.13593,-0.0961169,0.0961169,
0.0708227,-0.0500792,0.0500792,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.150734,-0.106585,0.106585,
0.458466,-0.324185,0.324185,
0.533497,-0.377239,0.377239,
1.53239,-1.08356,1.08356,
4.46151,-2.63332,3.60148,
7.26454,-4.13016,5.97623,
8.13235,-4.58606,6.71589,
8.51265,-4.77401,7.04798,
8.7157,-4.88849,7.21568,
8.16888,-4.60523,6.74703,
7.80059,-4.41399,6.43164,
6.76847,-3.86626,5.55555,
6.18682,-3.56594,5.05577,
4.91979,-2.90631,3.96959,
3.07083,-1.94222,2.37861,
1.11922,-0.791411,0.791411,
0.435918,-0.30824,0.30824,
0.421396,-0.297972,0.297972,
0.379114,-0.268074,0.268074,
0.330406,-0.233633,0.233633,
0.32805,-0.231967,0.231967,
0.296475,-0.20964,0.20964,
0.213251,-0.150791,0.150791,
0.222102,-0.15705,0.15705,
0.278216,-0.196728,0.196728,
0.339936,-0.240371,0.240371,
0.35123,-0.248357,0.248357,
0.522958,-0.369787,0.369787,
0.647651,-0.457958,0.457958,
2.64552,-1.67317,2.04922,
4.43563,-2.62768,3.57353,
5.30968,-3.06849,4.33325,
6.31774,-3.59782,5.19322,
6.94186,-3.91743,5.73089,
6.61306,-3.74421,5.451,
5.97464,-3.38178,4.92543,
5.52244,-3.14635,4.53848,
4.01156,-2.35926,3.24445,
2.57377,-1.61368,2.00507,
1.52581,-1.05658,1.10079,
0.642799,-0.454528,0.454528,
0.487015,-0.344371,0.344371,
0.500141,-0.353653,0.353653,
0.450144,-0.3183,0.3183,
0.37059,-0.262047,0.262047,
0.354209,-0.250464,0.250464,
0.252586,-0.178605,0.178605,
0.41325,-0.292212,0.292212,
0.714441,-0.505186,0.505186,
0.780949,-0.552214,0.552214,
0.822669,-0.581715,0.581715,
2.75025,-1.70684,2.15652,
4.70895,-2.67557,3.87499,
6.34315,-3.50636,5.28593,
7.64295,-4.18199,6.39732,
8.52756,-4.64456,7.15174,
9.46398,-5.13772,7.94801,
9.87889,-5.36117,8.29761,
8.86654,-4.84587,7.42517,
7.12706,-3.96051,5.92532,
5.22599,-2.97224,4.29847,
3.40809,-2.02381,2.74213,
1.75866,-1.14794,1.33233,
0.539915,-0.381778,0.381778,
0.38788,-0.274272,0.274272,
0.29319,-0.207317,0.207317,
0.256826,-0.181604,0.181604,
0.218509,-0.154509,0.154509,
0.16694,-0.118045,0.118045,
0.0975519,-0.0689796,0.0689796,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.0618132,-0.0437085,0.0437085,
0.145895,-0.103164,0.103164,
0.256938,-0.181683,0.181683,
0.351947,-0.248864,0.248864,
0.522707,-0.36961,0.36961,
0.910338,-0.643706,0.643706,
4.99604,-2.78512,4.14771,
6.23518,-3.51575,5.14946,
7.80788,-4.37883,6.46444,
8.50983,-4.74922,7.06131,
8.82878,-4.91328,7.33533,
8.33713,-4.65635,6.91565,
5.68983,-3.25338,4.66794,
3.73242,-2.22908,2.99368,
1.46621,-0.964319,1.10447,
1.12216,-0.793486,0.793486,
0.659419,-0.46628,0.46628,
0.50614,-0.357895,0.357895,
0.447363,-0.316334,0.316334,
0.389,-0.275064,0.275064,
0.369812,-0.261497,0.261497,
0.358745,-0.253671,0.253671,
0.313612,-0.221757,0.221757,
0.172761,-0.12216,0.12216,
0.20897,-0.147764,0.147764,
0.338929,-0.239659,0.239659,
0.376103,-0.265945,0.265945,
0.378497,-0.267638,0.267638,
0.666608,-0.471363,0.471363,
1.70426,-1.06184,1.33304,
4.13951,-2.31026,3.43485,
5.05051,-2.78678,4.21207,
5.28139,-2.9025,4.41232,
5.43228,-2.9788,4.54273,
5.74265,-3.14629,4.80404,
5.98278,-3.35072,4.95644,
5.38297,-3.09049,4.40741,
4.31184,-2.54497,3.48067,
3.80114,-2.27047,3.04855,
3.28268,-2.00388,2.60009,
2.66229,-1.68094,2.06452,
1.78181,-1.2068,1.3109,
1.27355,-0.900533,0.900533,
1.50744,-1.06592,1.06592,
1.6006,-1.1318,1.1318,
1.2661,-0.895267,0.895267,
0.44974,-0.318014,0.318014,
0.342769,-0.242374,0.242374,
0.395181,-0.279435,0.279435,
0.463268,-0.32758,0.32758,
0.509483,-0.360259,0.360259,
0.572105,-0.404539,0.404539,
1.55509,-1.09961,1.09961,
3.74759,-2.20439,3.0307,
5.17071,-2.92556,4.26349,
6.2124,-3.46663,5.15523,
7.32668,-4.09263,6.07705,
7.87426,-4.42831,6.51108,
9.19464,-5.14601,7.61972,
10.4425,-5.83259,8.66183,
9.39178,-5.2815,7.76603,
9.09098,-5.14215,7.49695,
7.85003,-4.47675,6.44839,
6.61715,-3.85912,5.3753,
5.05085,-3.04777,4.02768,
4.21053,-2.5882,3.32111,
4.23962,-2.57895,3.36502,
4.90287,-2.90254,3.95138,
5.57557,-3.25302,4.52823,
5.99498,-3.47835,4.88271,
5.75572,-3.37947,4.65913,
4.51191,-2.78138,3.55264,
6.27672,-3.71308,5.06065,
7.75684,-4.48465,6.32901,
8.80821,-5.03638,7.2263,
9.08846,-5.19309,7.45868,
10.8564,-6.1595,8.93988,
12.5055,-7.0197,10.3495,
13.7673,-7.67983,11.4263,
13.2572,-7.40572,10.9958,
12.681,-7.09687,10.5091,
12.4047,-6.95347,10.2726,
12.1901,-6.83946,10.0906,
11.4031,-6.43157,9.41622,
10.1865,-5.76166,8.40045,
10.4729,-5.90062,8.65236,
9.18183,-5.18182,7.57989,
8.32573,-4.74705,6.83984,
7.60098,-4.37731,6.21403,
6.96134,-4.04285,5.66706,
6.81979,-3.9687,5.54607,
6.7431,-3.92312,5.4844,
6.32182,-3.70225,5.12433,
6.00701,-3.54036,4.85284,
4.91151,-2.9834,3.90157,
2.69548,-1.85516,1.95551,
3.94573,-2.50751,3.04651,
6.45794,-3.80512,5.21786,
7.26892,-4.22511,5.91487,
7.02359,-4.1079,5.69702,
8.70239,-5.00891,7.11635,
9.9296,-5.64297,8.1703,
11.0941,-6.25449,9.16298,
11.2603,-6.33485,9.30933,
10.9791,-6.18279,9.07271,
10.7925,-6.08407,8.91415,
11.0792,-6.22486,9.16509,
10.3355,-5.82197,8.53972,
9.0211,-5.09437,7.44497,
7.69664,-4.3905,6.32153,
5.89367,-3.40218,4.81255,
4.81537,-2.85619,3.87685,
3.51818,-2.20039,2.74516,
2.50521,-1.67163,1.86594,
1.00216,-0.708631,0.708631,
0.442439,-0.312851,0.312851,
0.415928,-0.294105,0.294105,
0.357145,-0.25254,0.25254,
0.262426,-0.185563,0.185563,
0.145081,-0.102588,0.102588,
0.205445,-0.145271,0.145271,
0.36513,-0.258186,0.258186,
0.573507,-0.405531,0.405531,
0.634144,-0.448408,0.448408,
1.10842,-0.783774,0.783774,
2.68677,-1.6822,2.09499,
4.14675,-2.37601,3.39855,
5.5594,-3.09245,4.61993,
5.99445,-3.30622,5.00023,
7.90529,-4.29418,6.63729,
9.50353,-5.12989,8.00008,
8.35008,-4.54383,7.00553,
6.86209,-3.76442,5.73738,
5.75241,-3.2067,4.77569,
3.18022,-1.87632,2.56772,
1.27213,-0.860094,0.937318,
0.461859,-0.326584,0.326584,
0.348671,-0.246548,0.246548,
0.263188,-0.186102,0.186102,
0.283155,-0.20022,0.20022,
0.290492,-0.205409,0.205409,
0.238055,-0.168331,0.168331,
0.177818,-0.125736,0.125736,
0.0965084,-0.0682417,0.0682417,
0.168988,-0.119492,0.119492,
0.416467,-0.294486,0.294486,
0.512116,-0.362121,0.362121,
0.6014,-0.425254,0.425254,
0.700731,-0.495491,0.495491,
0.845824,-0.598088,0.598088,
2.76609,-1.57585,2.27331,
3.63742,-2.02953,3.01858,
4.16125,-2.29585,3.4706,
5.73343,-3.11461,4.81368,
6.32171,-3.42245,5.31515,
5.43009,-2.97789,4.54071,
4.45564,-2.49263,3.69318,
2.91273,-1.69993,2.36522,
0.757096,-0.508938,0.560514,
0.30381,-0.214826,0.214826,
0.194136,-0.137275,0.137275,
0.135696,-0.0959514,0.0959514,
0.0979776,-0.0692806,0.0692806,
0.0619037,-0.0437726,0.0437726,
0.0343501,-0.0242892,0.0242892,
0.00889676,-0.00629096,0.00629096,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.040715,-0.0287898,0.0287898,
0.111208,-0.0786361,0.0786361,
0.0836682,-0.0591624,0.0591624,
0.34521,-0.244101,0.244101,
0.550628,-0.389352,0.389352,
0.665527,-0.470599,0.470599,
1.06996,-0.46156,0.965281,
3.7338,-1.91794,3.20356,
5.03003,-2.63507,4.28458,
6.04773,-3.1954,5.13463,
5.4887,-2.94385,4.63244,
3.58565,-1.9631,3.00052,
1.21148,-0.739379,0.959683,
0.367349,-0.259755,0.259755,
0.255129,-0.180404,0.180404,
0.158468,-0.112054,0.112054,
0.0458916,-0.0324503,0.0324503,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.000340712,-0.00024092,0.00024092,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.0284962,-0.0201499,0.0201499,
0.180221,-0.127436,0.127436,
0.23819,-0.168425,0.168425,
0.296461,-0.209629,0.209629,
0.34523,-0.244114,0.244114,
0.450769,-0.318742,0.318742,
0.48123,-0.340281,0.340281,
1.08287,-0.765702,0.765702,
1.92398,-1.2375,1.4732,
2.21347,-1.34415,1.75861,
1.45327,-0.935718,1.11195,
0.378181,-0.267414,0.267414,
0.329652,-0.233099,0.233099,
0.325995,-0.230513,0.230513,
0.286437,-0.202542,0.202542,
0.187957,-0.132906,0.132906,
0.0877655,-0.0620596,0.0620596,
0.0219812,-0.0155431,0.0155431,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.0415486,-0.0293793,0.0293793,
0.175138,-0.123841,0.123841,
0.214341,-0.151562,0.151562,
0.235153,-0.166279,0.166279,
0.352383,-0.249172,0.249172,
0.491548,-0.347577,0.347577,
0.767425,-0.382306,0.665419,
3.12533,-1.71299,2.61407,
3.28558,-1.77255,2.76643,
4.3565,-2.34354,3.67245,
3.23051,-1.78326,2.69373,
0.890759,-0.563462,0.6899,
0.346182,-0.244787,0.244787,
0.202721,-0.143346,0.143346,
0.131606,-0.0930598,0.0930598,
0.0275459,-0.0194779,0.0194779,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.000558884,-0.00039519,0.00039519,
0.0310373,-0.0219467,0.0219467,
0.141796,-0.100265,0.100265,
0.248903,-0.176001,0.176001,
0.33272,-0.235269,0.235269,
0.356716,-0.252237,0.252237,
0.44344,-0.31356,0.31356,
0.553917,-0.292927,0.470126,
0.38758,-0.274061,0.274061,
0.2676,-0.189222,0.189222,
0.172611,-0.122055,0.122055,
0.0957846,-0.0677299,0.0677299,
0.0146284,-0.0103438,0.0103438,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.00108763,-0.000769067,0.000769067,
0.120475,-0.0851889,0.0851889,
0.198594,-0.140427,0.140427,
0.238342,-0.168533,0.168533,
0.215823,-0.15261,0.15261,
0.186231,-0.131685,0.131685,
0.204134,-0.144345,0.144345,
0.229509,-0.162287,0.162287,
0.152416,-0.107774,0.107774,
0.0712702,-0.0503957,0.0503957,
0.00780527,-0.00551916,0.00551916,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.0318554,-0.0225252,0.0225252,
0.00695056,-0.00491479,0.00491479,
0.0207407,-0.0146659,0.0146659,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.033586,-0.0237489,0.0237489,
0.143624,-0.101557,0.101557,
0.368934,-0.260876,0.260876,
0.732077,-0.517656,0.517656,
4.4658,-2.71233,3.54777,
7.168,-4.0615,5.90631,
8.6435,-4.84986,7.15464,
9.25217,-5.17062,7.67251,
9.35929,-5.21712,7.77033,
9.5629,-5.31645,7.94887,
9.5587,-5.32098,7.94077,
8.32025,-4.63775,6.9078,
8.09432,-4.5197,6.71493,
7.39527,-4.16279,6.11238,
6.29277,-3.60324,5.15903,
5.02174,-2.94878,4.0648,
4.01247,-2.42504,3.19673,
3.30785,-2.05167,2.59471,
2.66018,-1.70028,2.04587,
2.20947,-1.44869,1.66825,
1.80065,-1.22238,1.32217,
0.512323,-0.362267,0.362267,
0.387714,-0.274155,0.274155,
0.500699,-0.354048,0.354048,
0.733847,-0.518908,0.518908,
1.67168,-1.18206,1.18206,
2.38264,-1.52469,1.83094,
3.53947,-2.12079,2.83374,
4.95667,-2.8422,4.06085,
5.88393,-3.30646,4.86703,
5.94102,-3.33236,4.91844,
6.50575,-3.63027,5.3987,
7.95923,-4.43394,6.60981,
8.18645,-4.59878,6.77268,
7.99358,-4.51859,6.59392,
7.74598,-4.43183,6.35288,
7.81892,-4.49375,6.39856,
6.26042,-3.67613,5.06743,
5.90478,-3.48076,4.76977,
4.98353,-2.99475,3.98335,
4.68241,-2.83392,3.72745,
3.42126,-2.16602,2.64828,
2.33399,-1.56968,1.72732,
2.42851,-1.59335,1.83273,
1.7469,-1.20639,1.26344,
0.569059,-0.402386,0.402386,
0.480102,-0.339483,0.339483,
0.747952,-0.528882,0.528882,
1.17201,-0.828733,0.828733,
3.36764,-2.09176,2.63923,
3.21851,-1.94332,2.56561,
4.22611,-2.4407,3.45007,
5.08595,-2.87109,4.19806,
8.17763,-4.45377,6.8584,
9.60419,-5.19382,8.07866,
9.3642,-5.07982,7.86662,
8.92001,-4.85285,7.48441,
10.0285,-5.43065,8.43087,
8.64482,-4.72502,7.23928,
5.46082,-3.06809,4.51745,
3.84095,-2.22506,3.13082,
1.68805,-1.06385,1.31062,
0.437372,-0.309269,0.309269,
0.304904,-0.2156,0.2156,
0.172711,-0.122125,0.122125,
0.0563911,-0.0398745,0.0398745,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
3.53264e-164,3.53264e-164,-3.53264e-164,
0.0665756,-0.047076,0.047076,
0.15963,-0.112876,0.112876,
0.166344,-0.117623,0.117623,
0.255556,-0.180705,0.180705,
0.381134,-0.269502,0.269502,
0.456236,-0.322607,0.322607,
0.457052,-0.323185,0.323185,
0.541251,-0.382722,0.382722,
0.72917,-0.426222,0.591627,
0.651061,-0.451924,0.468663,
