m1,m2,m3
38.0676,-20.9532,31.7821,
40.2936,-22.1223,33.6776,
40.8699,-22.414,34.1755,
42.2457,-23.1468,35.3401,
43.2293,-23.672,36.1719,
43.2356,-23.6866,36.1699,
44.9701,-24.6245,37.6291,
45.0594,-24.6925,37.6912,
43.529,-23.8149,36.4366,
44.6033,-24.4045,37.3347,
44.0689,-23.8968,37.0272,
43.3339,-23.5155,36.3985,
40.8529,-22.241,34.268,
39.0477,-21.3078,32.7216,
37.9818,-20.7771,31.7951,
35.0284,-19.2045,29.2946,
34.2472,-18.7857,28.6351,
33.3336,-18.2935,27.8653,
30.3946,-16.7464,25.3651,
26.9896,-15.0297,22.4175,
27.4344,-15.2624,22.797,
30.3768,-16.8028,25.3064,
31.3315,-17.3001,26.1222,
30.2982,-16.7609,25.2398,
30.7615,-17.0487,25.605,
31.4076,-17.365,26.1705,
31.69,-17.493,26.4244,
31.5093,-17.3784,26.2836,
30.588,-16.8814,25.5078,
29.686,-16.3895,24.7516,
32.1411,-17.6626,26.853,
33.7997,-18.5395,28.2613,
33.2808,-18.1982,27.8646,
33.7942,-18.4851,28.2905,
31.8706,-17.2956,26.7693,
31.0723,-16.9053,26.071,
30.3736,-16.5662,25.4582,
29.3839,-16.0666,24.6025,
28.7766,-15.7757,24.067,
27.458,-15.0655,22.9559,
25.8021,-14.1944,21.5469,
25.1004,-13.8258,20.9494,
23.6192,-13.0571,19.6819,
20.7445,-11.6342,17.175,
21.385,-11.9174,17.7566,
21.5197,-11.9718,17.8822,
19.5758,-10.9593,16.2205,
19.9647,-11.1935,16.5316,
23.2457,-12.932,19.3165,
25.3137,-13.9637,21.114,
27.3358,-15.0043,22.8499,
28.1487,-15.4139,23.5534,
29.1217,-15.9271,24.3804,
31.3407,-17.1087,26.259,
31.2652,-17.0826,26.1858,
30.6459,-16.7764,25.6461,
29.5352,-16.1331,24.7396,
31.5972,-17.2359,26.4822,
32.6752,-17.6715,27.4842,
35.2642,-19.0767,29.6588,
35.9561,-19.4743,30.2257,
37.334,-20.2323,31.3764,
37.3455,-20.2928,31.351,
37.2934,-20.2644,31.3074,
38.1075,-20.7065,31.991,
37.795,-20.5571,31.7154,
36.9531,-20.1477,30.9774,
35.7537,-19.6249,29.8862,
35.9277,-19.7284,30.0265,
37.5601,-20.6128,31.3986,
38.7682,-21.2622,32.4174,
39.2389,-21.5268,32.8068,
42.6112,-23.3968,35.6132,
45.4734,-24.9149,38.0405,
46.9575,-25.7069,39.2958,
46.5462,-25.4982,38.9408,
46.6476,-25.5658,39.0179,
47.892,-26.236,40.0664,
48.1436,-26.3824,40.2713,
47.6962,-26.169,39.8762,
45.3525,-24.855,37.9351,
45.3491,-24.8633,37.9257,
46.309,-25.1274,38.8991,
46.9494,-25.4576,39.4481,
45.7689,-24.8685,38.4233,
46.1528,-25.0958,38.7335,
44.8815,-24.4692,37.6245,
43.9157,-23.9471,36.812,
42.9027,-23.4124,35.9513,
40.0704,-21.9232,33.5412,
37.5409,-20.5942,31.3879,
35.6788,-19.6915,29.7526,
36.5796,-20.2226,30.4814,
37.0355,-20.4772,30.8596,
36.8215,-20.3597,30.6807,
35.3748,-19.5841,29.4591,
36.3385,-20.1139,30.2641,
38.2323,-21.0743,31.8996,
38.8013,-21.3464,32.4018,
37.593,-20.6783,31.3949,
37.7216,-20.7212,31.5206,
37.4614,-20.561,31.3146,
37.944,-20.7952,31.7381,
37.4748,-20.5375,31.346,
37.2808,-20.3713,31.2228,
36.0832,-19.7527,30.1964,
34.7291,-18.8119,29.1929,
34.5819,-18.7219,29.0757,
32.8451,-17.835,27.581,
32.4611,-17.6535,27.2411,
34.0547,-18.5307,28.5716,
33.2667,-18.1158,27.9014,
33.9133,-18.4694,28.4428,
34.5906,-18.8409,29.0092,
34.5576,-18.8527,28.9621,
32.2417,-17.7439,26.92,
33.0051,-18.1815,27.5458,
32.9862,-18.2008,27.5104,
33.5249,-18.491,27.9642,
34.1954,-18.8419,28.5361,
34.9299,-19.2874,29.122,
35.0347,-19.3236,29.2238,
35.6524,-19.6311,29.7609,
35.4425,-19.5091,29.59,
35.131,-19.3361,29.3309,
33.7931,-18.6175,28.2021,
34.125,-18.7833,28.4903,
35.2836,-19.4043,29.4687,
35.4862,-19.4448,29.6845,
36.1114,-19.7911,30.2051,
35.2764,-19.1861,29.6026,
33.634,-18.3392,28.1943,
33.4308,-18.2645,28.0005,
33.4595,-18.3049,28.0084,
31.0945,-17.0937,25.9745,
29.573,-16.3006,24.6749,
29.1208,-16.0604,24.2916,
27.4584,-15.1871,22.8761,
25.0838,-13.9394,20.854,
22.7787,-12.7564,18.8718,
23.409,-13.0663,19.423,
23.6734,-13.1921,19.657,
23.3214,-12.9944,19.3658,
22.234,-12.4056,18.4513,
22.7676,-12.6442,18.9337,
23.5823,-13.0385,19.65,
25.6175,-14.0832,21.3991,
27.6981,-15.1588,23.1818,
28.2659,-15.4455,23.6727,
29.5581,-16.1363,24.7649,
31.4992,-17.1731,26.4061,
33.601,-18.3091,28.1746,
33.8734,-18.4925,28.3802,
36.5631,-19.9547,30.6378,
38.6397,-20.9687,32.4552,
40.2325,-21.8668,33.7712,
40.098,-21.8505,33.6215,
39.6802,-21.6709,33.2399,
41.0489,-22.4314,34.3779,
40.8117,-22.3284,34.162,
39.7347,-21.7813,33.2329,
40.3915,-22.1477,33.778,
39.631,-21.7665,33.1185,
