m1,m2,m3,m4,m5,m6,m7
119.372,54.491,64.8809,27.6317,2.89849,-21.4329,27.0097,
113.006,51.6676,61.3384,26.1429,2.7747,-20.2786,25.5551,
109.769,50.0928,59.676,25.4825,2.773,-19.7611,24.9118,
103.354,47.0354,56.3182,24.1928,2.94334,-18.827,23.6556,
102.591,46.7558,55.8352,23.9475,3.04415,-18.6984,23.4158,
104.799,48.0155,56.783,24.2919,2.97935,-18.9745,23.7487,
98.8263,45.4812,53.3451,22.8229,2.79749,-17.852,22.311,
97.9086,44.989,52.9196,22.6554,2.77258,-17.7176,22.1474,
105.526,48.0207,57.5053,24.6722,3.46688,-19.4233,24.1252,
106.355,48.544,57.8111,24.7404,3.37563,-19.4483,24.1903,
103.458,47.4396,56.0186,23.9282,3.19056,-18.7957,23.3946,
100.46,46.1379,54.3223,23.1904,3.06345,-18.2022,22.6732,
108.911,49.7868,59.1243,25.2094,3.33101,-19.7547,24.6492,
109.798,50.1701,59.628,25.4131,3.35394,-19.9018,24.8491,
109.381,49.9178,59.4633,25.3626,3.37478,-19.8673,24.8003,
113.431,51.5787,61.8526,26.4052,3.56824,-20.6878,25.8213,
115.384,52.8269,62.5574,26.5791,2.95457,-20.6179,25.9851,
121.693,55.6344,66.0591,28.0705,3.09087,-21.7691,27.4427,
122.988,56.1084,66.8801,28.2613,2.84595,-21.8006,27.6296,
123.033,56.1793,66.854,28.2746,2.87644,-21.805,27.6437,
122.431,55.8968,66.5345,28.1847,2.90921,-21.7512,27.5558,
121.014,55.2368,65.7774,27.9089,2.92759,-21.5602,27.2861,
117.284,53.5793,63.7044,27.086,2.94876,-20.9698,26.4816,
112.653,51.5499,61.1036,25.9828,2.77642,-20.0992,25.4026,
110.873,50.7729,60.0999,25.5639,2.72808,-19.7685,24.9933,
108.656,49.7499,58.9056,25.082,2.71005,-19.3961,24.5231,
108.011,49.333,58.6783,25.0325,2.77201,-19.3565,24.4765,
102.64,46.6816,55.9583,24.0354,2.98037,-18.6651,23.5058,
106.254,48.1909,58.0634,24.9126,3.20541,-19.4109,24.3632,
111.455,50.689,60.766,26.0243,3.20864,-20.294,25.445,
112.361,51.2307,61.1302,26.1558,3.15483,-20.4074,25.5709,
111.301,50.7518,60.5495,25.9228,3.12006,-20.2403,25.3419,
116.754,52.7779,63.9758,27.4886,3.94874,-21.6714,26.8802,
120.564,54.6596,65.9043,28.2407,3.93608,-22.2366,27.6132,
123.005,55.9135,67.0913,28.7004,3.93589,-22.593,28.0609,
121.23,55.2309,65.9988,28.2164,3.82536,-22.2095,27.5864,
121.35,55.3163,66.0341,28.2233,3.80577,-22.2113,27.5927,
119.403,54.5101,64.8927,27.728,3.71619,-21.8184,27.1079,
116.364,53.2245,63.1394,26.9727,3.59404,-21.2204,26.369,
114.393,52.3149,62.0781,26.5325,3.55551,-20.8734,25.9394,
109.559,50.4844,59.0743,25.1492,2.84391,-19.6128,24.582,
109.084,50.2533,58.8303,25.0538,2.84103,-19.533,24.4893,
106.348,48.9003,57.4482,24.3324,2.65647,-18.8913,23.7863,
109.945,50.3589,59.5861,25.2708,2.78121,-19.5835,24.7064,
108.738,49.6507,59.087,25.129,2.83286,-19.481,24.5692,
104.94,47.8759,57.0639,24.3257,2.81283,-18.8735,23.7849,
102.687,46.8144,55.8728,23.8796,2.85623,-18.5521,23.3498,
102.52,46.754,55.766,23.8415,2.84301,-18.5091,23.3132,
105.363,48.0161,57.3466,24.5082,2.88582,-19.0026,23.9655,
107.457,48.9374,58.5192,25.0051,2.93206,-19.3712,24.4521,
107.574,48.9531,58.6205,25.0639,2.97934,-19.4111,24.5111,
104.304,47.307,56.9971,24.4644,3.05551,-18.9709,23.9277,
113.79,50.8541,62.9354,27.1068,4.28183,-21.3185,26.5244,
123.535,55.4457,68.0889,29.237,4.40951,-23.0046,28.6003,
131.06,58.9829,72.0773,30.9027,4.53194,-24.3214,30.2246,
135.018,60.904,74.1138,31.7516,4.58253,-24.9993,31.0517,
143.034,64.689,78.3448,33.4991,4.69579,-26.3688,32.7563,
149.937,67.9872,81.9502,34.9846,4.77762,-27.5333,34.2048,
155.667,70.8138,84.8536,36.1613,4.80409,-28.45,35.3515,
156.729,71.577,85.1522,36.2462,4.71094,-28.5144,35.4313,
160.974,73.6789,87.2946,37.1156,4.74442,-29.1881,36.2793,
168.509,77.0622,91.4464,38.8764,4.95752,-30.5734,38,
169.3,77.4783,91.822,39.053,4.96883,-30.7336,38.1709,
167.351,76.7273,90.6238,38.5534,4.8847,-30.3576,37.6809,
161.043,73.9061,87.1369,37.1221,4.72211,-29.2604,36.2807,
161.957,74.1861,87.7713,37.4478,4.81331,-29.539,36.5992,
153.149,69.9775,83.1711,35.4073,4.54335,-27.9079,34.606,
142.348,65.0395,77.3083,32.9448,4.30233,-25.9879,32.2003,
132.622,60.5718,72.0504,30.7712,4.1158,-24.3016,30.0772,
133.241,60.6383,72.6029,31.0452,4.25773,-24.5077,30.3491,
132.815,60.3227,72.4921,31.0301,4.32653,-24.4799,30.3377,
130.972,59.4599,71.5122,30.6317,4.29535,-24.1486,29.9502,
127.058,57.7293,69.3284,29.7111,4.17271,-23.4085,29.0512,
120.221,54.7034,65.5176,28.106,3.97812,-22.1401,27.483,
112.622,51.2336,61.3889,26.3925,3.84343,-20.7964,25.8109,
109.67,49.5715,60.0989,25.9427,4.00505,-20.4563,25.3784,
115.231,52.0392,63.1915,27.2401,4.27266,-21.5073,26.6484,
118.358,53.6125,64.7457,27.8643,4.23726,-22.0018,27.254,
119.882,54.3564,65.5255,28.1807,4.1999,-22.2501,27.5603,
117.759,53.3936,64.3658,27.6999,4.11131,-21.8819,27.0888,
120.586,54.7636,65.8223,28.2698,4.07894,-22.3104,27.6433,
123.166,56.0399,67.1264,28.7725,4.04162,-22.6831,28.1326,
122.855,56.0382,66.8165,28.5925,3.90909,-22.5202,27.9542,
123.478,56.3756,67.1021,28.6873,3.87422,-22.5794,28.0463,
124.662,56.9302,67.7318,28.935,3.87802,-22.7598,28.2885,
131.852,60.1703,71.6814,30.5702,4.05508,-24.0136,29.8877,
143.044,65.1621,77.882,33.167,4.37369,-26.0253,32.4275,
151.571,68.8116,82.759,35.2778,4.71273,-27.6991,34.4922,
150.608,69.04,81.5677,34.6059,3.70634,-26.9133,33.8245,
146.598,67.3129,79.2849,33.6832,3.62959,-26.24,32.9204,
137.871,63.1673,74.7033,31.6226,3.20651,-24.5582,30.906,
133.019,60.8495,72.1693,30.6063,3.15918,-23.7759,29.9138,
124.783,57.0018,67.7814,28.831,3.04811,-22.4222,28.1789,
111.465,50.901,60.5641,25.8598,2.83407,-20.1465,25.2753,
105.373,48.0546,57.3188,24.5459,2.80387,-19.1402,23.9931,
97.8173,44.5901,53.2273,22.819,2.57091,-17.752,22.3068,
91.6331,41.7703,49.8629,21.4006,2.42592,-16.6187,20.9224,
85.0933,38.7902,46.3032,19.9059,2.30175,-15.4345,19.4639,
73.7638,33.6032,40.1606,17.3655,2.13163,-13.4604,16.9838,
65.34,29.5172,35.8228,15.6802,2.25066,-12.2118,15.3425,
71.7599,32.2578,39.5021,17.1659,2.536,-13.3701,16.7988,
76.5795,34.5683,42.0112,18.1465,2.51926,-14.1161,17.7538,
80.583,36.4478,44.1352,19.0019,2.5374,-14.7637,18.5885,
84.3903,38.1832,46.2071,19.8501,2.59011,-15.4068,19.4172,
88.9736,39.9323,49.0414,21.129,3.24385,-16.5713,20.6744,
90.5266,40.7543,49.7723,21.3954,3.19732,-16.771,20.9324,
93.5593,42.2252,51.3341,22.0166,3.21846,-17.252,21.5379,
94.5245,42.6951,51.8294,22.2114,3.21405,-17.4015,21.7276,
95.1249,43.0252,52.0997,22.306,3.19416,-17.4691,21.8193,
95.4841,43.2214,52.2627,22.3644,3.18339,-17.5118,21.8759,
94.9851,43.0146,51.9705,22.2393,3.16081,-17.4149,21.7533,
95.2754,43.0721,52.2034,22.3607,3.21053,-17.518,21.8727,
91.6711,41.7942,49.8768,21.2784,2.54586,-16.506,20.8079,
90.3074,41.1883,49.1191,20.9687,2.51271,-16.2687,20.505,
87.4579,39.8868,47.5711,20.1958,2.1561,-15.5484,19.7493,
86.2038,39.4259,46.7779,19.8919,2.13676,-15.2915,19.4539,
80.5761,36.8878,43.6883,18.6277,2.04783,-14.3189,18.2188,
75.9411,34.7603,41.1808,17.5981,1.97099,-13.5285,17.2128,
75.5261,34.5237,41.0025,17.5504,2.03032,-13.5093,17.1669,
73.5945,33.6359,39.9585,17.0897,1.90501,-13.1176,16.7165,
68.567,31.3726,37.1944,15.9275,1.80154,-12.2133,15.5812,
65.1257,29.8274,35.2983,15.1246,1.74861,-11.582,14.7977,
59.7591,27.3145,32.4446,13.9506,1.70931,-10.6671,13.6529,
53.6059,24.2342,29.3717,12.7968,1.91601,-9.8362,12.5321,
57.2902,25.8338,31.4564,13.6401,2.1722,-10.5351,13.3597,
57.8623,26.1552,31.7072,13.677,2.17671,-10.5611,13.396,
60.086,27.1132,32.9728,14.1851,2.15926,-10.9492,13.8901,
64.3324,28.9234,35.409,15.2231,2.2197,-11.7464,14.9033,
69.6062,31.0481,38.5581,16.6155,2.7372,-12.961,16.2697,
66.8248,30.0736,36.7512,15.7854,2.49456,-12.2959,15.4538,
70.3721,31.7859,38.5862,16.5156,2.51145,-12.8546,16.1655,
72.0926,32.6006,39.4921,16.875,2.51238,-13.1228,16.5161,
71.8413,32.5529,39.2885,16.7677,2.45826,-13.0282,16.4104,
72.4612,32.8399,39.6213,16.8991,2.45483,-13.123,16.5386,
72.524,32.858,39.666,16.9167,2.4489,-13.1321,16.5558,
73.367,33.1155,40.2515,17.1953,2.52776,-13.3571,16.8293,
70.2984,31.9518,38.3465,16.3266,2.05246,-12.558,15.9752,
69.2268,31.3957,37.8311,16.1404,2.04572,-12.4206,15.7931,
65.5008,29.7519,35.7489,15.221,1.66541,-11.6158,14.8919,
60.3987,27.4167,32.982,14.1127,1.53056,-10.7617,13.8077,
52.3355,23.6607,28.6748,12.3461,1.42323,-9.40391,12.0822,
45.9373,20.6298,25.3075,10.9809,1.3762,-8.35054,10.7503,
43.0709,19.2848,23.7861,10.3729,1.43508,-7.8875,10.1595,
41.0587,18.4125,22.6462,9.85438,1.32534,-7.43021,9.65414,
41.035,18.34,22.6951,9.87653,1.34096,-7.41829,9.67797,
39.2914,17.4942,21.7972,9.51031,1.34723,-7.11739,9.32256,
35.8976,15.8283,20.0692,8.82452,1.35853,-6.58038,8.65562,
33.4573,14.4114,19.0459,8.53658,1.63747,-6.42548,8.38322,
40.2998,17.6419,22.6579,9.98339,1.76562,-7.62157,9.79085,
46.0062,20.3934,25.6128,11.1471,1.79218,-8.53812,10.923,
46.4537,20.6892,25.7645,11.1803,1.76578,-8.57578,10.9536,
44.057,19.628,24.429,10.623,1.71764,-8.16159,10.4084,
48.1738,21.3807,26.7931,11.6372,2.0861,-9.04187,11.4043,
48.9725,21.8868,27.0857,11.7073,2.01002,-9.07914,11.4702,
58.029,26.0076,32.0214,13.7416,2.21145,-10.6498,13.4577,
66.0161,29.6195,36.3966,15.5543,2.40119,-12.0492,15.2295,
70.0602,31.473,38.5872,16.4652,2.49764,-12.7607,16.1193,
71.5908,32.2086,39.3822,16.7944,2.52051,-13.0252,16.44,
71.9409,32.3724,39.5686,16.8802,2.52292,-13.1052,16.5228,
70.8779,31.8555,39.0224,16.6776,2.51926,-12.9659,16.3243,
65.0766,29.519,35.5576,15.1523,1.95343,-11.6661,14.827,
62.2971,28.284,34.0131,14.5091,1.88862,-11.176,14.1978,
56.9792,25.9526,31.0266,13.2369,1.43808,-10.1017,12.9504,
56.7299,25.7024,31.0275,13.2807,1.42488,-10.1121,12.9942,
54.1219,24.4188,29.7031,12.7476,1.43269,-9.68457,12.4756,
48.303,21.6447,26.6582,11.524,1.39595,-8.74506,11.2817,
47.252,21.1172,26.1348,11.3343,1.47496,-8.61139,11.0984,
45.4061,20.3172,25.0889,10.8602,1.35602,-8.19881,10.6356,
42.7059,19.1157,23.5902,10.2243,1.29963,-7.68885,10.0153,
40.0455,17.9025,22.143,9.62387,1.28245,-7.21033,9.43069,
38.5227,17.0441,21.4786,9.3938,1.35655,-7.02114,9.20979,
32.0386,13.8216,18.217,8.17074,1.58453,-6.14952,8.0248,
34.8958,15.1623,19.7335,8.77162,1.68657,-6.70714,8.60788,
37.6934,16.5317,21.1617,9.31505,1.66868,-7.14424,9.13432,
37.8763,16.7264,21.1498,9.26577,1.61566,-7.10252,9.08433,
39.0076,17.2187,21.7888,9.53201,1.6247,-7.30511,9.34388,
43.328,18.9645,24.3635,10.6606,2.02566,-8.27933,10.4526,
45.8679,20.1938,25.6741,11.1742,2.01566,-8.66625,10.952,
49.8862,22.0431,27.8431,12.0688,2.09459,-9.36467,11.8251,
54.1753,23.9511,30.2242,13.1012,2.24352,-10.197,12.8333,
56.5112,25.0128,31.4984,13.6538,2.31123,-10.645,13.3725,
55.7127,24.6684,31.0443,13.4814,2.28711,-10.5287,13.2027,
51.1971,22.744,28.4531,12.3865,2.11342,-9.68299,12.1304,
46.9251,20.5862,26.339,11.5819,2.10356,-9.09305,11.3454,
42.5411,18.7423,23.7988,10.4679,1.61167,-8.09984,10.2497,
43.0189,18.8994,24.1195,10.5901,1.5954,-8.16146,10.3701,
38.6905,17.0383,21.6522,9.48931,1.09727,-7.18097,9.28945,
37.5624,16.4379,21.1245,9.25777,1.10673,-6.93413,9.06814,
35.372,15.3046,20.0674,8.83152,1.15974,-6.56871,8.65656,
30.5886,13.0965,17.492,7.75805,1.14474,-5.72745,7.61116,
29.22,12.4329,16.7871,7.48407,1.23466,-5.52705,7.34722,
30.2029,12.8807,17.3222,7.67073,1.18143,-5.61987,7.52985,
29.3309,12.5153,16.8156,7.43927,1.15299,-5.42282,7.30451,
26.4349,11.2042,15.2307,6.77717,1.12043,-4.91105,6.65883,
24.8989,10.407,14.492,6.50051,1.14449,-4.69547,6.39076,
19.1394,7.54505,11.5943,5.42705,1.35272,-3.95214,5.35406,
21.5711,8.82834,12.7427,5.83499,1.3718,-4.34741,5.74592,
28.7427,12.2851,16.4576,7.31321,1.36152,-5.50494,7.17991,
32.6326,14.0741,18.5584,8.17544,1.41094,-6.17684,8.0202,
35.3399,15.2626,20.0772,8.82462,1.47593,-6.68675,8.65393,
42.6899,18.3553,24.3345,10.6688,2.04634,-8.24774,10.4639,
46.7416,20.3406,26.4011,11.4883,2.0567,-8.8753,11.2614,
45.8791,20.1052,25.7739,11.2015,1.98096,-8.66478,10.9785,
48.225,21.2546,26.9704,11.6769,1.99245,-9.02758,11.4416,
48.5453,21.5589,26.9864,11.641,1.92569,-8.98545,11.4049,
54.887,24.3398,30.5472,13.1485,2.12783,-10.1645,12.879,
59.3844,26.3793,33.005,14.1757,2.24996,-10.9656,13.883,
59.2013,26.3091,32.8922,14.1429,2.26996,-10.9538,13.851,
60.2119,27.0457,33.1663,14.1731,1.81988,-10.832,13.8735,
65.6854,29.5736,36.1119,15.394,1.94499,-11.7745,15.067,
67.5768,30.5274,37.0494,15.7852,1.75707,-12.0376,15.4452,
66.0987,29.8706,36.2281,15.4708,1.76835,-11.7781,15.1401,
61.6759,27.8669,33.809,14.4902,1.73945,-11.0337,14.1827,
56.4687,25.5178,30.9509,13.3185,1.6807,-10.1448,13.0381,
53.6283,24.178,29.4503,12.7335,1.7171,-9.72164,12.4676,
52.7269,23.7549,28.972,12.5371,1.70927,-9.56381,12.2764,
49.2288,22.1903,27.0385,11.7267,1.6497,-8.93125,11.4854,
45.8998,20.6244,25.2753,11.0104,1.62859,-8.3734,10.7874,
45.6809,20.3838,25.2971,11.0534,1.71893,-8.3938,10.8334,
40.6324,17.8378,22.7946,10.0945,1.81723,-7.66643,9.90359,
46.864,20.4251,26.4389,11.653,2.40004,-9.08084,11.4327,
52.2654,22.9711,29.2943,12.7958,2.46681,-10.0022,12.5437,
59.8985,26.3939,33.5046,14.546,2.64656,-11.3662,14.2526,
65.5888,28.7962,36.7926,15.9708,2.8688,-12.4991,15.6458,
73.705,32.4711,41.2339,17.8204,3.0517,-13.9418,17.4516,
79.0067,34.9378,44.0689,18.9838,3.12566,-14.8473,18.5861,
86.0955,38.2054,47.8901,20.5554,3.23177,-16.0664,20.1195,
92.0432,40.884,51.1592,21.9289,3.36453,-17.1438,21.4604,
98.231,43.685,54.5461,23.3579,3.51391,-18.2698,22.8557,
102.876,45.8679,57.0084,24.4279,3.62743,-19.15,23.8983,
108.195,48.3134,59.8817,25.6879,3.77939,-20.1852,25.1268,
106.232,47.4447,58.7872,25.2895,3.75044,-19.9242,24.7348,
103.337,46.1061,57.2309,24.6785,3.69257,-19.468,24.1369,
109.478,48.7811,60.6968,26.1628,3.89614,-20.633,25.5883,
107.399,47.9043,59.4947,25.6181,3.7477,-20.1567,25.056,
105.594,47.2906,58.3038,25.1266,3.67728,-19.7482,24.5768,
105.221,47.112,58.1091,25.071,3.6974,-19.7065,24.5232,
101.279,45.3441,55.9351,24.1632,3.5909,-18.9963,23.636,
101.705,45.4593,56.246,24.296,3.62025,-19.0882,23.7671,
96.3346,43.1294,53.2052,22.9858,3.41825,-18.047,22.4859,
88.7242,39.8487,48.8755,21.1238,3.13466,-16.5727,20.665,
82.6438,37.1474,45.4965,19.69,2.94586,-15.441,19.2636,
79.2323,35.4341,43.7983,19.0225,2.95322,-14.9244,18.6141,
72.045,31.91,40.135,17.582,2.9517,-13.822,17.2116,
73.6926,32.6073,41.0853,17.9299,3.17744,-14.1286,17.5571,
74.8451,33.1937,41.6513,18.1028,3.08433,-14.2531,17.7219,
77.6981,34.5345,43.1636,18.7211,3.09268,-14.7307,18.3238,
78.0294,34.6687,43.3607,18.8097,3.09644,-14.8012,18.41,
80.0757,35.7447,44.3311,19.1629,3.04189,-15.0559,18.7527,
80.6269,36.1688,44.458,19.1584,2.94217,-15.031,18.7459,
84.7137,38.0806,46.6331,20.0296,2.96773,-15.6873,19.596,
86.6241,38.9915,47.6326,20.4267,2.98214,-15.9855,19.9838,
86.7989,39.0815,47.7175,20.4588,2.97643,-16.0092,20.0148,
92.873,41.6858,51.1872,21.94,3.192,-17.1687,21.4639,
97.6808,43.7554,53.9254,23.1119,3.36458,-18.0891,22.6103,
94.9326,42.5419,52.3907,22.4796,3.29921,-17.6063,21.9919,
93.9771,42.5049,51.4723,21.9765,2.58538,-17.0117,21.4915,
95.4188,43.1242,52.2947,22.3388,2.61603,-17.2932,21.8454,
91.0533,41.2483,49.805,21.1885,2.2183,-16.291,20.7203,
91.1151,41.3266,49.7885,21.2323,2.22593,-16.3096,20.7642,
85.5789,38.745,46.8339,20.033,2.13041,-15.3905,19.592,
81.9248,37.0318,44.8931,19.2408,2.06754,-14.7802,18.8178,
86.0891,38.755,47.334,20.3104,2.24793,-15.6172,19.8647,
82.6793,37.1843,45.495,19.527,2.11156,-14.9813,19.0992,
80.3763,36.1233,44.253,19.0226,2.07081,-14.5942,18.6063,
78.3975,35.175,43.2225,18.6143,2.05423,-14.2821,18.2075,
63.7898,28.5496,35.2402,15.3059,1.81458,-11.7469,14.9748,
52.1817,22.9863,29.1954,12.9311,1.8966,-9.99064,12.659,
55.1436,24.2586,30.885,13.6031,2.13283,-10.5485,13.3196,
51.5653,22.6673,28.898,12.7148,2.04102,-9.86025,12.4516,
50.6092,22.1692,28.44,12.5104,1.96565,-9.69269,12.2504,
47.7495,20.8896,26.8599,11.8341,1.87612,-9.15619,11.5895,
47.7963,20.7059,27.0904,11.9726,2.27119,-9.37985,11.7337,
50.9701,22.245,28.7251,12.5944,2.26068,-9.82522,12.3399,
55.8197,24.5554,31.2643,13.6023,2.32132,-10.5831,13.3241,
54.5438,24.111,30.4329,13.2231,2.22909,-10.2809,12.952,
53.5965,23.7028,29.8937,13.0002,2.19658,-10.1161,12.7334,
53.0327,23.2519,29.7808,13.0077,2.26317,-10.1446,12.742,
60.5653,26.5082,34.0571,14.8066,2.50291,-11.5314,14.5021,
70.7041,30.9278,39.7763,17.2145,2.83442,-13.3934,16.8583,
67.7573,30.1164,37.6409,16.1656,2.03565,-12.3632,15.8221,
71.2359,31.6864,39.5495,16.9582,2.10792,-12.9714,16.5969,
73.3544,32.7307,40.6236,17.3595,1.7641,-13.1878,16.9843,
69.6633,31.0864,38.577,16.5182,1.7251,-12.5256,16.1638,
70.1661,31.2932,38.8729,16.657,1.789,-12.6224,16.3014,
68.9204,30.7145,38.2059,16.4006,1.81626,-12.4309,16.0518,
66.7198,29.7413,36.9785,15.9182,1.87137,-12.0939,15.5809,
64.6756,28.8433,35.8324,15.4201,1.75609,-11.6856,15.0936,
60.8861,27.1772,33.7089,14.5239,1.66803,-10.9929,14.2176,
56.5712,25.2575,31.3137,13.5208,1.59603,-10.2208,13.2376,
48.7261,21.6295,27.0966,11.7956,1.51431,-8.90107,11.5532,
43.3592,18.9961,24.3632,10.7687,1.72383,-8.17572,10.5563,
48.8891,21.6662,27.2229,11.889,1.8804,-9.12652,11.6476,
52.0558,23.2877,28.7681,12.4574,1.88408,-9.58145,12.2,
53.2983,23.885,29.4133,12.7095,1.90041,-9.78017,12.4458,
52.5782,23.5288,29.0494,12.569,1.90655,-9.6798,12.3087,
58.9942,26.2363,32.7579,14.166,2.42261,-11.0337,13.8758,
62.4188,27.9072,34.5117,14.8504,2.40819,-11.5494,14.542,
69.8385,31.2507,38.5878,16.5445,2.57653,-12.8695,16.1965,
82.0714,36.5949,45.4765,19.4603,2.95199,-15.1483,19.0474,
80.6828,36.2036,44.4792,18.9931,2.80653,-14.7767,18.5879,
83.4972,37.5335,45.9637,19.6124,2.85567,-15.2668,19.192,
86.6301,38.9109,47.7192,20.3739,2.96048,-15.8788,19.9357,
85.5185,38.4548,47.0637,20.1137,2.93027,-15.6927,19.6803,
82.7389,37.5709,45.168,19.2231,2.29542,-14.845,18.8021,
91.832,41.5206,50.3114,21.4231,2.49594,-16.5441,20.9521,
88.9599,40.28,48.68,20.6983,2.14814,-15.8934,20.2418,
84.1685,38.231,45.9374,19.5781,2.01684,-15.0269,19.1462,
79.9778,36.222,43.7558,18.7074,1.95295,-14.3616,18.2953,
79.4084,35.8576,43.5508,18.6548,1.98603,-14.3171,18.245,
80.6942,36.362,44.3321,19.0191,2.11429,-14.6114,18.6028,
80.4072,36.2338,44.1735,18.9281,2.03514,-14.4995,18.5145,
80.5577,36.301,44.2567,18.9563,2.03236,-14.5044,18.543,
79.8767,35.9629,43.9139,18.8223,2.04419,-14.3947,18.4131,
76.4536,34.3006,42.153,18.1292,2.04858,-13.8633,17.7373,
71.8411,31.9548,39.8864,17.3222,2.27487,-13.3124,16.9532,
77.8964,34.6746,43.2218,18.6923,2.56313,-14.4558,18.2919,
78.0846,34.8621,43.2225,18.6268,2.56059,-14.4161,18.2274,
79.2415,35.3942,43.8473,18.8723,2.52048,-14.6149,18.4646,
77.0212,34.4319,42.5893,18.3501,2.4465,-14.2243,17.9527,
79.6352,35.3743,44.2609,19.126,3.06182,-15.0076,18.7188,
83.8965,37.4316,46.4649,20.0025,3.07353,-15.6739,19.5731,
85.3777,38.202,47.1757,20.2766,3.05639,-15.8903,19.839,
84.9079,37.9961,46.9118,20.1685,3.02737,-15.8107,19.7324,
87.7421,39.2468,48.4953,20.8336,3.10102,-16.3261,20.3825,
90.7398,40.5612,50.1786,21.5443,3.18923,-16.8784,21.0776,
94.8912,42.3257,52.5656,22.5714,3.34551,-17.6862,22.0823,
96.6217,43.1044,53.5173,22.9751,3.40412,-18.0008,22.4774,
89.8181,40.636,49.1821,20.9946,2.4706,-16.249,20.5315,
93.2798,42.1308,51.149,21.8437,2.55021,-16.9067,21.3612,
92.2148,41.7414,50.4734,21.4768,2.22189,-16.5082,21.0019,
90.5897,41.1538,49.436,21.0601,2.1611,-16.1701,20.595,
92.1515,41.7624,50.3891,21.4889,2.20322,-16.4958,21.0145,
95.7466,43.2763,52.4703,22.391,2.30967,-17.1914,21.8968,
96.8218,43.7762,53.0455,22.6504,2.41713,-17.418,22.1509,
93.4262,42.3509,51.0753,21.7856,2.26615,-16.7295,21.3051,
90.9132,41.2653,49.6479,21.1816,2.21272,-16.2674,20.7145,
89.2244,40.4915,48.7329,20.81,2.20534,-15.9879,20.3516,
84.4357,38.2714,46.1644,19.7683,2.17095,-15.1955,19.3344,
77.6817,34.9751,42.7065,18.4671,2.34899,-14.2751,18.0661,
79.0512,35.543,43.5082,18.7747,2.61764,-14.5787,18.3704,
78.4691,35.41,43.0592,18.5228,2.51378,-14.4005,18.1206,
76.9704,34.8678,42.1025,18.1025,2.40806,-14.0876,17.7069,
75.1247,34.0392,41.0856,17.6831,2.35472,-13.7696,17.2962,
82.6403,37.0509,45.5893,19.6685,3.02422,-15.4547,19.2437,
83.22,37.3653,45.8548,19.757,2.97746,-15.516,19.3285,
84.637,38.1891,46.4479,19.9462,2.91571,-15.6437,19.5117,
87.4764,39.5027,47.9737,20.5628,2.95854,-16.1085,20.1144,
93.0847,41.9038,51.1809,21.93,3.15591,-17.1759,21.4519,
98.0449,43.9719,54.073,23.1848,3.36171,-18.1675,22.6798,
106.958,47.8716,59.0865,25.31,3.65139,-19.8265,24.7584,
114.76,51.309,63.4511,27.1646,3.91329,-21.2793,26.5724,
112.239,50.85,61.3894,26.1208,2.93219,-20.2169,25.5407,
112.956,51.2389,61.7172,26.2722,2.94372,-20.3518,25.6874,
114.217,51.8131,62.4044,26.4502,2.67784,-20.3766,25.861,
116.783,53.0547,63.7288,27.0416,2.74871,-20.8232,26.44,
123.868,56.2127,67.6553,28.7214,2.92619,-22.118,28.0826,
121.918,55.3606,66.5573,28.2883,2.9251,-21.8066,27.6588,
120.378,54.6437,65.734,27.9972,3.00048,-21.6296,27.374,
119.766,54.3492,65.4167,27.8623,2.91911,-21.5068,27.2415,
112.507,51.1034,61.4036,26.1909,2.7668,-20.2282,25.6072,
105.399,47.8863,57.5131,24.5778,2.63987,-18.992,24.0306,
94.9737,43.0701,51.9036,22.2762,2.49048,-17.2282,21.782,
87.5528,39.4793,48.0735,20.7978,2.62094,-16.1517,20.3408,
94.2808,42.372,51.9087,22.3581,2.95868,-17.3927,21.8694,
103.212,46.4755,56.7369,24.3347,3.04103,-18.9177,23.798,
102.967,46.6116,56.3552,24.1243,2.94958,-18.7607,23.5899,
101.579,46.1007,55.4785,23.742,2.89225,-18.4759,23.2149,
112.103,50.4283,61.6745,26.461,3.85368,-20.8012,25.881,
119.416,53.8194,65.5966,28.0777,3.97606,-22.0573,27.4593,
125.447,56.628,68.8187,29.4205,4.10905,-23.1206,28.77,
124.616,56.4459,68.1699,29.1186,3.99882,-22.8857,28.4723,
131.065,59.3579,71.7071,30.608,4.16608,-24.0513,29.9277,
138.67,62.6783,75.9915,32.4447,4.42142,-25.5019,31.7233,
139.984,63.3707,76.6137,32.7046,4.42523,-25.714,31.9758,
140.619,63.7204,76.8983,32.8365,4.43839,-25.83,32.1039,
137.422,62.9614,74.4607,31.6284,3.39623,-24.6264,30.9126,
137.189,62.8635,74.3259,31.6119,3.41255,-24.6389,30.8954,
131.311,59.9742,71.3367,30.2823,3.21446,-23.5672,29.5967,
127.863,58.3468,69.5165,29.552,3.19555,-22.9958,28.8846,
130.775,59.4648,71.3101,30.3613,3.32326,-23.6154,29.6774,
126.992,57.7262,69.2662,29.5306,3.28639,-22.9736,28.8666,
115.629,52.6634,62.9654,26.9181,3.12656,-20.9841,26.3138,
111.565,50.8237,60.7414,25.9909,3.03554,-20.2527,25.4084,
107.296,48.8753,58.4206,25.0233,2.94069,-19.4869,24.4637,
103.425,47.0837,56.3416,24.165,2.87473,-18.8062,23.6264,
95.3862,43.38,52.0062,22.3839,2.77448,-17.4241,21.888,
86.2079,39.0408,47.167,20.4334,2.72974,-15.9234,19.9859,
